scenario_id	arm	mode	two_sided	cor_matrix	outlier_lo	outlier_hi	min_Ngenes	injection_type	feature_source	feature_alt_id	target_size	Delta	rho	pi_pos	sparsity	sigma_obs	beta	signature_seed	n_reps	notes
dh_sig_tern_magnitude_abs_b0p00	magnitude_absK	probit	FALSE	abs	-3	6	2	null	sig_tern	AltID_ENSG					0.05	1	0	111	300	DH form=sig_tern mode=magnitude K=abs beta=0.00
dh_sig_tern_magnitude_abs_b0p20	magnitude_absK	probit	FALSE	abs	-3	6	2	property_random	sig_tern	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_tern mode=magnitude K=abs beta=0.20
dh_sig_tern_magnitude_abs_b0p40	magnitude_absK	probit	FALSE	abs	-3	6	2	property_random	sig_tern	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_tern mode=magnitude K=abs beta=0.40
dh_sig_tern_magnitude_signed_bm0p40	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_tern	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_tern mode=magnitude K=signed beta=-0.40
dh_sig_tern_magnitude_signed_bm0p20	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_tern	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_tern mode=magnitude K=signed beta=-0.20
dh_sig_tern_magnitude_signed_b0p00	magnitude_signedK	probit	FALSE	signed	-3	6	2	null	sig_tern	AltID_ENSG					0.05	1	0	111	300	DH form=sig_tern mode=magnitude K=signed beta=0.00
dh_sig_tern_magnitude_signed_b0p20	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_tern	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_tern mode=magnitude K=signed beta=0.20
dh_sig_tern_magnitude_signed_b0p40	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_tern	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_tern mode=magnitude K=signed beta=0.40
dh_sig_bin_dir2s_abs_bm0p40	dir2s_absK	directional	TRUE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_bin mode=dir2s K=abs beta=-0.40
dh_sig_bin_dir2s_abs_bm0p20	dir2s_absK	directional	TRUE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_bin mode=dir2s K=abs beta=-0.20
dh_sig_bin_dir2s_abs_b0p00	dir2s_absK	directional	TRUE	abs	-6	6	2	null	sig_bin	AltID_ENSG					0.05	1	0	111	300	DH form=sig_bin mode=dir2s K=abs beta=0.00
dh_sig_bin_dir2s_abs_b0p20	dir2s_absK	directional	TRUE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_bin mode=dir2s K=abs beta=0.20
dh_sig_bin_dir2s_abs_b0p40	dir2s_absK	directional	TRUE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_bin mode=dir2s K=abs beta=0.40
dh_sig_bin_dir2s_signed_bm0p40	dir2s_signedK	directional	TRUE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_bin mode=dir2s K=signed beta=-0.40
dh_sig_bin_dir2s_signed_bm0p20	dir2s_signedK	directional	TRUE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_bin mode=dir2s K=signed beta=-0.20
dh_sig_bin_dir2s_signed_b0p00	dir2s_signedK	directional	TRUE	signed	-6	6	2	null	sig_bin	AltID_ENSG					0.05	1	0	111	300	DH form=sig_bin mode=dir2s K=signed beta=0.00
dh_sig_bin_dir2s_signed_b0p20	dir2s_signedK	directional	TRUE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_bin mode=dir2s K=signed beta=0.20
dh_sig_bin_dir2s_signed_b0p40	dir2s_signedK	directional	TRUE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_bin mode=dir2s K=signed beta=0.40
dh_sig_bin_dir1s_abs_bm0p40	dir1s_absK	directional	FALSE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_bin mode=dir1s K=abs beta=-0.40
dh_sig_bin_dir1s_abs_bm0p20	dir1s_absK	directional	FALSE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_bin mode=dir1s K=abs beta=-0.20
dh_sig_bin_dir1s_abs_b0p00	dir1s_absK	directional	FALSE	abs	-6	6	2	null	sig_bin	AltID_ENSG					0.05	1	0	111	300	DH form=sig_bin mode=dir1s K=abs beta=0.00
dh_sig_bin_dir1s_abs_b0p20	dir1s_absK	directional	FALSE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_bin mode=dir1s K=abs beta=0.20
dh_sig_bin_dir1s_abs_b0p40	dir1s_absK	directional	FALSE	abs	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_bin mode=dir1s K=abs beta=0.40
dh_sig_bin_dir1s_signed_bm0p40	dir1s_signedK	directional	FALSE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_bin mode=dir1s K=signed beta=-0.40
dh_sig_bin_dir1s_signed_bm0p20	dir1s_signedK	directional	FALSE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_bin mode=dir1s K=signed beta=-0.20
dh_sig_bin_dir1s_signed_b0p00	dir1s_signedK	directional	FALSE	signed	-6	6	2	null	sig_bin	AltID_ENSG					0.05	1	0	111	300	DH form=sig_bin mode=dir1s K=signed beta=0.00
dh_sig_bin_dir1s_signed_b0p20	dir1s_signedK	directional	FALSE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_bin mode=dir1s K=signed beta=0.20
dh_sig_bin_dir1s_signed_b0p40	dir1s_signedK	directional	FALSE	signed	-6	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_bin mode=dir1s K=signed beta=0.40
dh_sig_bin_magnitude_abs_bm0p40	magnitude_absK	probit	FALSE	abs	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_bin mode=magnitude K=abs beta=-0.40
dh_sig_bin_magnitude_abs_bm0p20	magnitude_absK	probit	FALSE	abs	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_bin mode=magnitude K=abs beta=-0.20
dh_sig_bin_magnitude_abs_b0p00	magnitude_absK	probit	FALSE	abs	-3	6	2	null	sig_bin	AltID_ENSG					0.05	1	0	111	300	DH form=sig_bin mode=magnitude K=abs beta=0.00
dh_sig_bin_magnitude_abs_b0p20	magnitude_absK	probit	FALSE	abs	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_bin mode=magnitude K=abs beta=0.20
dh_sig_bin_magnitude_abs_b0p40	magnitude_absK	probit	FALSE	abs	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_bin mode=magnitude K=abs beta=0.40
dh_sig_bin_magnitude_signed_bm0p40	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.4	111	300	DH form=sig_bin mode=magnitude K=signed beta=-0.40
dh_sig_bin_magnitude_signed_bm0p20	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	-0.2	111	300	DH form=sig_bin mode=magnitude K=signed beta=-0.20
dh_sig_bin_magnitude_signed_b0p00	magnitude_signedK	probit	FALSE	signed	-3	6	2	null	sig_bin	AltID_ENSG					0.05	1	0	111	300	DH form=sig_bin mode=magnitude K=signed beta=0.00
dh_sig_bin_magnitude_signed_b0p20	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.2	111	300	DH form=sig_bin mode=magnitude K=signed beta=0.20
dh_sig_bin_magnitude_signed_b0p40	magnitude_signedK	probit	FALSE	signed	-3	6	2	property_random	sig_bin	AltID_ENSG					0.05	1	0.4	111	300	DH form=sig_bin mode=magnitude K=signed beta=0.40
